name,description,price,category,tags,semantic_description
Apple,Fresh Red Apples - pack of 6,120,Fruits,"fresh,fruit,healthy,vitamin-c,seasonal","Crisp and sweet red apples. Excellent source of vitamin C and dietary fiber. Great as a healthy snack anytime of day or in fruit salads. Low calorie and naturally sweet."
Banana,Fresh Yellow Bananas - dozen,60,Fruits,"fresh,fruit,energy,potassium,breakfast","High energy fruit packed with potassium and natural sugars. Perfect pre-workout snack or quick breakfast on the go. Easy to digest. Good for muscle recovery and heart health."
Mango,Alphonso Mangoes - pack of 6,280,Fruits,"fresh,fruit,tropical,sweet,summer","King of fruits. Rich in vitamin A and C. Ideal for summer desserts, smoothies, juices, and milkshakes. Sweet and aromatic Alphonso variety prized across India."
Orange,Juicy Navel Oranges - pack of 6,90,Fruits,"fresh,fruit,citrus,vitamin-c,juicy","Juicy citrus fruit loaded with vitamin C and antioxidants. Great for boosting immunity. Ideal for fresh juice, fruit salads, or eating as a healthy snack."
Grapes,Green Seedless Grapes - 500g,110,Fruits,"fresh,fruit,seedless,sweet,snack","Sweet and crunchy seedless green grapes. Rich in antioxidants and vitamins. Perfect as a quick healthy snack or added to fruit salads and desserts."
Watermelon,Fresh Watermelon - 1 piece,80,Fruits,"fresh,fruit,summer,hydrating,sweet","Over 90% water content makes this ideal for summer hydration. Low calorie and naturally sweet. Great for juice, smoothies, or eating chilled on a hot day."
Papaya,Ripe Papaya - 1 piece,70,Fruits,"fresh,fruit,tropical,digestive,vitamin-a","Rich in digestive enzyme papain. Excellent source of vitamin A and C. Promotes digestion and gut health. Good for breakfast or as a light snack."
Pineapple,Fresh Pineapple - 1 piece,65,Fruits,"fresh,fruit,tropical,tangy,summer","Tropical fruit rich in bromelain enzyme which aids digestion. High in vitamin C. Great for smoothies, desserts, and as a refreshing snack."
Pomegranate,Fresh Pomegranate - 2 pieces,150,Fruits,"fresh,fruit,antioxidant,healthy,winter","One of the most antioxidant-rich fruits. Supports heart health and lowers inflammation. Pomegranate seeds can be added to salads, juices, or eaten directly."
Strawberry,Fresh Strawberries - 250g,120,Fruits,"fresh,fruit,berry,sweet,seasonal","Bright red berries rich in vitamin C and folate. Low calorie and naturally sweet. Perfect for breakfast with oats, in smoothies, or as a healthy dessert topping."
